Serial_No,Parliament_Constituency,Party_ID,Constituency_ID,Constituency_Name,Winning_Candidate,Total_Votes,Margin
222,ADILABAD(1),369,S291,ADILABAD,GODAM NAGESH,568168,90652
162,AGRA(18),369,S2418,AGRA,PROF S P SINGH BAGHEL,599397,271294
33,AHMEDABADEAST(7),369,S067,AHMEDABADEAST,HASMUKHBHAI PATEL (H.S.PATEL),770459,461755
34,AHMEDABADWEST(8),369,S068,AHMEDABADWEST,DINESHBHAI MAKWANA (ADVOCATE),611704,286437
6,AHMEDNAGAR(37),3620,S1337,AHMEDNAGAR,NILESH DNYANDEV LANKE,624797,28929
142,AJMER(13),369,S2013,AJMER,BHAGIRATH CHOUDHARY,747462,329991
173,AKBARPUR(44),369,S2444,AKBARPUR,DEVENDRA SINGH ALIAS BHOLE SINGH,517423,44345
111,AKOLA(6),369,S136,AKOLA,ANUP SANJAY DHOTRE,457030,40626
32,ALAPPUZHA(15),742,S1115,ALAPPUZHA,K. C VENUGOPAL,404560,63513
1,ALATHUR(9),547,S119,ALATHUR,K.RADHAKRISHNAN,403447,20111
159,ALIGARH(15),369,S2415,ALIGARH,SATISH KUMAR GAUTAM,501834,15647
187,ALIPURDUARS(2),369,S252,ALIPURDUARS,MANOJ TIGGA,695314,75447
83,ALLAHABAD(52),742,S2452,ALLAHABAD,UJJWAL RAMAN SINGH,462145,58795
219,ALMORA(3),369,S283,ALMORA,AJAY TAMTA,429167,234097
141,ALWAR(8),369,S208,ALWAR,BHUPENDER YADAV,631992,48282
4,AMALAPURAM(SC)(7),1745,S017,AMALAPURAM(SC),G M HARISH (BALAYOGI),796981,342196
9,AMBALA(1),742,S071,AMBALA,VARUN CHAUDHRY,663657,49036
24,AMBEDKARNAGAR(55),1680,S2455,AMBEDKARNAGAR,LALJI VERMA,544959,137247
82,AMETHI(37),742,S2437,AMETHI,KISHORI LAL,539228,167196
39,AMRAVATI(7),742,S137,AMRAVATI,BALWANT BASWANT WANKHADE,526271,19731
40,AMRELI(14),369,S0614,AMRELI,BHARATBHAI MANUBHAI SUTARIYA,580872,321068
56,AMRITSAR(2),742,S192,AMRITSAR,GURJEET SINGH AUJLA,255181,40301
154,AMROHA(9),369,S249,AMROHA,KANWAR SINGH TANWAR,476506,28670
1,ANAKAPALLE(5),369,S015,ANAKAPALLE,C.M.RAMESH,762069,296530
42,ANAND(16),369,S0616,ANAND,MITESH PATEL (BAKABHAI),612484,89939
2,ANANDPURSAHIB(6),1,S196,ANANDPURSAHIB,MALVINDER SINGH KANG,313217,10846
13,ANANTHAPUR(19),1745,S0119,ANANTHAPUR,AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555
2,ANANTNAG-RAJOURI(3),834,U083,ANANTNAG-RAJOURI,MIAN ALTAF AHMAD,521836,281794
230,ANDAMAN&NICOBARISLANDS(1),369,U011,ANDAMAN&NICOBARISLANDS,BISHNU PADA RAY,102436,24396
10,AONLA(24),1680,S2424,AONLA,NEERAJ MAURYA,492515,15969
6,ARAKKONAM(7),582,S227,ARAKKONAM,S JAGATHRATCHAKAN,563216,306559
1,ARAKU(ST)(1),1888,S011,ARAKU(ST),GUMMA THANUJA RANI,477005,50580
20,ARAMBAGH(29),140,S2529,ARAMBAGH,BAG MITALI,712587,6399
10,ARANI(12),582,S2212,ARANI,THARANIVENTHAN M S,500099,208766
18,ARARIA(9),369,S049,ARARIA,PRADEEP KUMAR SINGH,600146,20094
1,ARRAH(32),545,S0432,ARRAH,SUDAMA PRASAD,529382,59808
5,ARUNACHALEAST(2),369,S022,ARUNACHALEAST,TAPIR GAO,145581,30421
4,ARUNACHALWEST(1),369,S021,ARUNACHALWEST,KIREN RIJIJU,205417,100738
27,ASANSOL(40),140,S2540,ASANSOL,SHATRUGHAN PRASAD SINHA,605645,59564
136,ASKA(19),369,S1819,ASKA,ANITA SUBHADARSHINI,494226,99974
35,ATTINGAL(19),742,S1119,ATTINGAL,ADV ADOOR PRAKASH,328051,684
4,AURANGABAD(37),1420,S0437,AURANGABAD,ABHAY KUMAR SINHA,465567,79111
2,AURANGABAD(19),3529,S1319,AURANGABAD,BHUMARE SANDIPANRAO ASARAM,476130,134650
29,AZAMGARH(69),1680,S2469,AZAMGARH,DHARMENDRA YADAV,508239,161035
9,BADAUN(23),1680,S2423,BADAUN,ADITYA YADAV,501855,34991
63,BAGALKOT(3),369,S103,BAGALKOT,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399
2,BAGHPAT(11),1458,S2411,BAGHPAT,DR RAJKUMAR SANGWAN,488967,159459
176,BAHARAICH(56),369,S2456,BAHARAICH,ANAND KUMAR,518802,64227
3,BAHARAMPUR(10),140,S2510,BAHARAMPUR,PATHAN YUSUF,524516,85022
94,BALAGHAT(15),369,S1215,BALAGHAT,BHARTI PARDHI,712660,174512
123,BALASORE(6),369,S186,BALASORE,PRATAP CHANDRA SARANGI,563865,147156
32,BALLIA(72),1680,S2472,BALLIA,SANATAN PANDEY,467068,43384
191,BALURGHAT(6),369,S256,BALURGHAT,SUKANTA MAJUMDAR,574996,10386
8,BANASKANTHA(2),742,S062,BANASKANTHA,GENIBEN NAGAJI THAKOR,671883,30406
20,BANDA(48),1680,S2448,BANDA,KRISHNA DEVI SHIVSHANKER PATEL,406567,71210
76,BANGALORECENTRAL(25),369,S1025,BANGALORECENTRAL,P C MOHAN,658915,32707
75,BANGALORENORTH(24),369,S1024,BANGALORENORTH,SHOBHA KARANDLAJE,986049,259476
74,BANGALORERURAL(23),369,S1023,BANGALORERURAL,DR C N MANJUNATH,1079002,269647
77,BANGALORESOUTH(26),369,S1026,BANGALORESOUTH,TEJASVI SURYA,750830,277083
194,BANGAON(14),369,S2514,BANGAON,SHANTANU THAKUR,719505,73693
10,BANKA(27),805,S0427,BANKA,GIRIDHARI YADAV,506678,103844
24,BANKURA(36),140,S2536,BANKURA,ARUP CHAKRABORTY,641813,32778
184,BANSGAON(67),369,S2467,BANSGAON,KAMLESH PASWAN,428693,3150
1,BANSWARA(20),3482,S2020,BANSWARA,RAJ KUMAR ROAT,820831,247054
9,BAPATLA(SC)(15),1745,S0115,BAPATLA(SC),KRISHNA PRASAD TENNETI,717493,208031
84,BARABANKI(53),742,S2453,BARABANKI,TANUJ PUNIA,719927,215704
4,BARAMATI(35),3620,S1335,BARAMATI,SUPRIYA SULE,732312,158333
6,BARAMULLA(1),743,U081,BARAMULLA,ABDUL RASHID SHEIKH,472481,204142
8,BARASAT(17),140,S2517,BARASAT,KAKOLI GHOSH DASTIDAR,692010,114189
26,BARDHAMAN-DURGAPUR(39),140,S2539,BARDHAMAN-DURGAPUR,AZAD KIRTI JHA,720667,137981
25,BARDHAMANPURBA(38),140,S2538,BARDHAMANPURBA,DR. SHARMILA SARKAR,720302,160572
49,BARDOLI(23),369,S0623,BARDOLI,PARBHUBHAI NAGARBHAI VASAVA,763950,230253
164,BAREILLY(25),369,S2425,BAREILLY,CHHATRA PAL SINGH GANGWAR,567127,34804
118,BARGARH(1),369,S181,BARGARH,PRADEEP PUROHIT,716359,251667
69,BARMER(17),742,S2017,BARMER,UMMEDA RAM BENIWAL,704676,118176
1,BARPETA(3),83,S033,BARPETA,PHANI BHUSAN CHOUDHURY,860113,222351
6,BARRACKPUR(15),140,S2515,BARRACKPUR,PARTHA BHOWMICK,520231,64438
9,BASIRHAT(18),140,S2518,BASIRHAT,SK NURUL ISLAM,803762,333547
207,BASTAR(10),369,S2610,BASTAR,MAHESH KASHYAP,458398,55245
26,BASTI(61),1680,S2461,BASTI,RAM PRASAD CHAUDHARY,527005,100994
1,BATHINDA(11),1584,S1911,BATHINDA,HARSIMRAT KAUR BADAL,376558,49656
7,BEED(39),3620,S1339,BEED,BAJRANG MANOHAR SONWANE,683950,6553
24,BEGUSARAI(24),369,S0424,BEGUSARAI,GIRIRAJ SINGH,649331,81480
62,BELGAUM(2),369,S102,BELGAUM,JAGADISH SHETTAR,762029,178437
19,BELLARY(9),742,S109,BELLARY,E. TUKARAM,730845,98992
137,BERHAMPUR(20),369,S1820,BERHAMPUR,DR. PRADEEP KUMAR PANIGRAHY,513102,165476
108,BETUL(29),369,S1229,BETUL,DURGADAS (D. D.) UIKEY,848236,379761
186,BHADOHI(78),369,S2478,BHADOHI,DR. VINOD KUMAR BIND,459982,44072
124,BHADRAK(7),369,S187,BHADRAK,AVIMANYU SETHI,573319,91544
9,BHAGALPUR(26),805,S0426,BHAGALPUR,AJAY KUMAR MANDAL,536031,104868
41,BHANDARAGONDIYA(11),742,S1311,BHANDARAGONDIYA,DR. PRASHANT YADAORAO PADOLE,587413,37380
65,BHARATPUR(9),742,S209,BHARATPUR,SANJNA JATAV,579890,51983
48,BHARUCH(22),369,S0622,BHARUCH,MANSUKHBHAI DHANJIBHAI VASAVA,608157,85696
41,BHAVNAGAR(15),369,S0615,BHAVNAGAR,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),716883,455289
149,BHILWARA(23),369,S2023,BHILWARA,DAMODAR AGARWAL,807640,354606
81,BHIND(2),369,S122,BHIND,SANDHYA RAY,537065,64840
3,BHIWANDI(23),3620,S1323,BHIWANDI,BALYA MAMA - SURESH GOPINATH MHATRE,499464,66121
55,BHIWANI-MAHENDRAGARH(8),369,S078,BHIWANI-MAHENDRAGARH,DHARAMBIR SINGH,588664,41510
93,BHONGIR(14),742,S2914,BHONGIR,CHAMALA KIRAN KUMAR REDDY,629143,222170
98,BHOPAL(19),369,S1219,BHOPAL,ALOK SHARMA,981109,501499
135,BHUBANESWAR(18),369,S1818,BHUBANESWAR,APARAJITA SARANGI,512519,35152
17,BIDAR(7),742,S107,BIDAR,SAGAR ESHWAR KHANDRE,666317,128875
64,BIJAPUR(4),369,S104,BIJAPUR,RAMESH JIGAJINAGI,672781,77229
1,BIJNOR(4),1458,S244,BIJNOR,CHANDAN CHAUHAN,404493,37508
138,BIKANER(2),369,S202,BIKANER,ARJUN RAM MEGHWAL,566737,55711
202,BILASPUR(5),369,S265,BILASPUR,TOKHAN SAHU,724937,164558
29,BIRBHUM(42),140,S2542,BIRBHUM,SATABDI ROY,717961,197650
198,BISHNUPUR(37),369,S2537,BISHNUPUR,KHAN SAUMITRA,680130,5567
127,BOLANGIR(10),369,S1810,BOLANGIR,SANGEETA KUMARI SINGH DEO,617744,132664
28,BOLPUR(41),140,S2541,BOLPUR,ASIT KUMAR MAL,855633,327253
158,BULANDSHAHR(14),369,S2414,BULANDSHAHR,DR BHOLA SINGH,597310,275134
1,BULDHANA(5),3529,S135,BULDHANA,JADHAV PRATAPRAO GANPATRAO,349867,29479
2,BUXAR(33),1420,S0433,BUXAR,SUDHAKAR SINGH,438345,30091
29,CHALAKUDY(11),742,S1111,CHALAKUDY,BENNY BEHANAN,394171,63754
22,CHAMARAJANAGAR(22),742,S1022,CHAMARAJANAGAR,SUNIL BOSE,751671,188706
