Party_ID,Party_Name,Won
1,Aam Aadmi Party - AAAP,3
140,All India Trinamool Congress - AITC,29
547,Communist Party of India  (Marxist) - CPI(M),4
545,Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),2
544,Communist Party of India - CPI,2
582,Dravida Munnetra Kazhagam - DMK,22
742,Indian National Congress - INC,99
772,Indian Union Muslim League - IUML,3
834,Jammu & Kashmir National Conference - JKN,2
852,Jharkhand Mukti Morcha - JMM,3
911,Kerala Congress - KEC,1
1046,Marumalarchi Dravida Munnetra Kazhagam - MDMK,1
3620,Nationalist Congress Party Sharadchandra Pawar - NCPSP,8
1420,Rashtriya Janata Dal - RJD,4
2484,Rashtriya Loktantrik Party - RLTP,1
1534,Revolutionary Socialist Party - RSP,1
1680,Samajwadi Party - SP,37
3369,Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,9
1847,Viduthalai Chiruthaigal Katchi - VCK,2
2989,Aazad Samaj Party (Kanshi Ram) - ASPKR,1
160,AJSU Party - AJSUP,1
118,All India Majlis-E-Ittehadul Muslimeen - AIMIM,1
2070,Apna Dal (Soneylal) - ADAL,1
83,Asom Gana Parishad - AGP,1
3482,Bharat Adivasi Party - BHRTADVSIP,1
369,Bharatiya Janata Party - BJP,240
664,Hindustani Awam Morcha (Secular) - HAMS,1
743,Independent - IND,7
860,Janasena Party - JnP,2
804,Janata Dal  (Secular) - JD(S),2
805,Janata Dal  (United) - JD(U),12
3165,Lok Janshakti Party(Ram Vilas) - LJPRV,5
1142,Nationalist Congress Party - NCP,1
1458,Rashtriya Lok Dal - RLD,2
1584,Shiromani Akali Dal - SAD,1
3529,Shiv Sena - SHS,7
1658,Sikkim Krantikari Morcha - SKM,1
1745,Telugu Desam - TDP,16
1998,"United People’s Party, Liberal - UPPL",1
3388,Voice of the People Party - VOTPP,1
1888,Yuvajana Sramika Rythu Congress Party - YSRCP,4
2757,Zoram People’s Movement - ZPM,1
